manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
S8404ZX/A,0013018329,AC+ for iPad Pro 12.9 4 S8404,Care,ACPP+,iPad Pro 12.9 EOL ACPP+,4300
S9865ZX/A,0013018330,AC+ for iPad Pro 12.9 5 S9865,Care,ACPP+,iPad Pro 12.9 5th ACPP+,4890
S9688ZX/A,0013018331,AC+ for iMac S9688,Care,ACPP+,iMac ACPP+,5290
MJWN3FE/A,0013018382,40 N 運動錶環 彩虹 MJWN3,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MJWP3FE/A,0013018383,44 N 運動錶環 彩虹 MJWP3,Accy,*Apple Watch Accy,Band 44mm Nike Sport,1600
S9703ZX/A,0013018530,AC+ for Mac mini S9703,Care,ACPP+,Mac mini ACPP+,2990
S9718ZX/A,0013018531,AC+ for Mac Pro S9718,Care,ACPP+,Mac Pro ACPP+,10990
S9788ZX/A,0013018532,AC+ for MBA M1 S9788,Care,ACPP+,13 MacBook Air ACPP+,5490
S9764ZX/A,0013018533,AC+ for MBP 13 Intel S9764,Care,ACPP+,13 MacBook Pro ACPP+,9590
S9736ZX/A,0013018534,AC+ for MBP 13 M1 S9736,Care,ACPP+,13 MacBook Pro ACPP+,7490
S9775ZX/A,0013018536,AC+ for MBP 16 Intel S9775,Care,ACPP+,16 MacBook Pro ACPP+,12990
S9742ZX/A,0013018537,AC+ for Pro Display S9742,Care,ACPP+,Display ACPP+,14990
2000130185989,0013018598,[i]Care MBA 三年期_5382,Care,iCPP,[i]Care M1/M2 MBA 三年期_5382,0
2000130185996,0013018599,[i]Care M MBP 13 三年期_7490,Care,iCPP,[i]Care M1/M2 MBP 三年期_7490,0
MLYX3FE/A,0013018627,AirTag 掛環 卡布藍 MLYX3,Accy,*iPhone Accy,AirTag Accy,990
MM003FE/A,0013018629,AirTag 皮掛環 檸檬 MM003,Accy,*iPhone Accy,AirTag Accy,1390
MM043FE/A,0013018632,AirTag 皮掛環 海藍 MM043,Accy,*iPhone Accy,AirTag Accy,1390
MM063FE/A,0013018633,AirTag 鑰匙圈 檸檬 MM063,Accy,*iPhone Accy,AirTag Accy,1290
MJ4X3TA/A,0013018642,Beats Studio Buds 無線黑 MJ4X3,Audio,Beats,Studio Buds,4990
MJ4Y3TA/A,0013018643,Beats Studio Buds 無線白 MJ4Y3,Audio,Beats,Studio Buds,4990
MJ503TA/A,0013018644,Beats Studio Buds 無線紅 MJ503,Audio,Beats,Studio Buds,4990
MM0Q3FE/A,0013018911,MagSafe 皮革卡套 金棕 MM0Q3,Accy,*iPhone Accy,MagSafe,1790
MM0T3FE/A,0013018912,MagSafe 皮革卡套 櫻桃 MM0T3,Accy,*iPhone Accy,MagSafe,1790
MM0W3FE/A,0013018913,MagSafe 皮革卡套 紫藤 MM0W3,Accy,*iPhone Accy,MagSafe,1790
MM0X3FE/A,0013018914,MagSafe 皮革卡套 杉綠 MM0X3,Accy,*iPhone Accy,MagSafe,1790
MMFA3FE/A,0013018917,AirTag 鑰匙圈 金棕 MMFA3,Accy,*iPhone Accy,AirTag Accy,1290
MMFC3FE/A,0013018918,AirTag 鑰匙圈 紫藤 MMFC3,Accy,*iPhone Accy,AirTag Accy,1290
SCMP2ZX/A,0013019020,AC+ for iPhone 13 mini SCMP2,Care,ACPP+,iPhone 13 mini ACPP+,4890
SCMQ2ZX/A,0013019021,AC+ for iPhone 13 SCMQ2,Care,ACPP+,iPhone 13 ACPP+,4890
SCMR2ZX/A,0013019022,AC+ for iPhone 13P SCMR2,Care,ACPP+,iPhone 13 Pro ACPP+,6390
SCMT2ZX/A,0013019023,AC+ for iPhone 13PM SCMT2,Care,ACPP+,iPhone 13 PM ACPP+,6390
SCLH2ZX/A,0013019024,AC+ for iPad mini 6 SCLH2,Care,ACPP+,iPad/iPad Mini ACPP+,2190
SCM32ZX/A,0013019025,AC+ for iPad 9 SCM32,Care,ACPP+,iPad/iPad Mini ACPP+,2190
MM6G3FE/A,0013019026,iPad Mini 6th Case 黑 MM6G3,Accy,iPad Case,iPad Mini,1940
MM6H3FE/A,0013019027,iPad Mini 6th Case 白 MM6H3,Accy,iPad Case,iPad Mini,1940
MM6J3FE/A,0013019028,iPad Mini 6th Case 橙 MM6J3,Accy,iPad Case,iPad Mini,1940
MM6K3FE/A,0013019029,iPad Mini 6th Case 櫻桃 MM6K3,Accy,iPad Case,iPad Mini,1940
MM6L3FE/A,0013019030,iPad Mini 6th Case 薰衣 MM6L3,Accy,iPad Case,iPad Mini,1940
MM6N3FE/A,0013019032,iPad Pro 11 Case 薰衣草 MM6N3,Accy,iPad Case,iPad Pro 11,2590
MM6P3FE/A,0013019033,iPad Pro 12.9 Case 薰衣草 MM6P3,Accy,iPad Case,iPad Pro 12.9,3290
2000130199078,0013019907,[i]Care iPhone SE 意外保_1080,Care,iCPP,[i]Care iPhone SE 意外保_1080,0
2000130199085,0013019908,[i]Care iPhone 7/8 意外保_1480,Care,iCPP,[i]Care iPhone 7/8 意外保_1480,0
2000130199092,0013019909,[i]Care iPhone 意外保_1880,Care,iCPP,[i]Care iPhone 7+~13m 意外保_1880,0
2000130199108,0013019910,[i]Care iPhone 意外保_2480,Care,iCPP,[i]Care iPhone XS~13PM 意外保_2480,0
SCCU2ZX/A,0013020011,AC+ for AW S7 SCCU2,Care,ACPP+,AW S7 ACPP+,2590
SCCV2ZX/A,0013020012,AC+ for AW Nike S7 SCCV2,Care,ACPP+,AW Nike S7 ACPP+,2590
SCCW2ZX/A,0013020013,AC+ for AW S7 不鏽鋼 SCCW2,Care,ACPP+,AW S7 不鏽鋼 ACPP+,2590
SCCX2ZX/A,0013020014,AC+ for AW S7 鈦金屬 SCCX2,Care,ACPP+,AW Edition S7 鈦金屬 ACPP+,4790
SCCY2ZX/A,0013020015,AC+ for AW S7 Hermes SCCY2,Care,ACPP+,AW Hermes S7 ACPP+,4790
MJ2C3TA/A,0013020088,HomePod mini 藍 MJ2C3,Audio,HomePod,HomePod mini 藍,3000
MJ2D3TA/A,0013020089,HomePod mini 橘 MJ2D3,Audio,HomePod,HomePod mini 橘,3000
MJ2E3TA/A,0013020090,HomePod mini 黃 MJ2E3,Audio,HomePod,HomePod mini 黃,3000
SCPG2ZX/A,0013020459,AC+ for MBP 14 M1 SCPG2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SDYP2ZX/A,0013020460,AC+ for MBP 16 M1 SDYP2,Care,ACPP+,16 MacBook Pro ACPP+,12990
MK2F3TA/A,0013020605,Beats Fit Pro 黑 MK2F3,Audio,Beats,Fit Pro,6990
MK2G3TA/A,0013020606,Beats Fit Pro 白 MK2G3,Audio,Beats,Fit Pro,6990
MK2H3TA/A,0013020607,Beats Fit Pro 紫 MK2H3,Audio,Beats,Fit Pro,6990
MK2J3TA/A,0013020608,Beats Fit Pro 灰 MK2J3,Audio,Beats,Fit Pro,6990
Z14Y,0013020711,"M1P 21 MBP 16"" 512 銀 Z14Y",CPU,MACBOOK PRO 16,MacBook Pro M1Pro CTO,74900
SEJD2ZX/A,0013020820,AC+ for iPad Air 5 SEJD2,Care,ACPP+,iPad Air 5 ACPP+,2590
SEH92ZX/A,0013020821,AC+ for iPhone SE 3 SEH92,Care,ACPP+,iPhone SE 3 ACPP+,2590
SELQ2ZX/A,0013020822,AC+ for Mac Studio SELQ2,Care,ACPP+,Mac Studio ACPP+,5290
SEL02ZX/A,0013020823,AC+ for Studio Display SEL02,Care,ACPP+,Studio Display ACPP+,4290
MNA43FE/A,0013020824,iPad Air 5 Case 暗櫻桃 MNA43,Accy,iPad Case,iPad Air 10.9,2590
MNA63FE/A,0013020825,iPad Air 5 Case 薰衣草 MNA63,Accy,iPad Case,iPad Air 10.9,2590
MNA73FE/A,0013020826,iPad Air 5 Case 海藍 MNA73,Accy,iPad Case,iPad Air 10.9,2590
2000130209210,0013020921,[i]Care iPad Air 5 一年期_1890,Care,iCPP,[i]Care iPad Air 5 一年期_1890,0
2000130209227,0013020922,[i]Care iPad Air 11 兩年_2414,Care,iCPP,[i]Care iPad Air 5/M2-M3 兩年期_2414,0
2000130209234,0013020923,[i]Care iPad Air 5 續保_1890,Care,iCPP,[i]Care iPad Air 5 續保一年期_1890,0
MMT73TA/A,0013020948,Beats Studio Buds 無線藍 MMT73,Audio,Beats,Studio Buds,4990
MMT83TA/A,0013020949,Beats Studio Buds 無線粉 MMT83,Audio,Beats,Studio Buds,4990
MMT93TA/A,0013020950,Beats Studio Buds 無線灰 MMT93,Audio,Beats,Studio Buds,4990
MN6M3FE/A,0013021295,41mm N 運動錶環 彩虹 MN6M3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MN6N3FE/A,0013021296,45mm N 運動錶環 彩虹 MN6N3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
SF8C2ZX/A,0013021306,AC+ for MBA 13 M2 SF8C2,Care,ACPP+,13 MacBook Air ACPP+,5490
SF932ZX/A,0013021307,AC+ for MBP 13 M2 SF932,Care,ACPP+,13 MacBook Pro ACPP+,7490
2.00013E+12,0013021366,[i]Care M3/M4 MBA 三年期_6151,Care,iCPP,[i]Care M3/M4 MBA 三年期_6151,0
MPU73FE/A,0013021701,iPhone 14 PM 透明 MPU73,Accy,iPhone Case,iPhone 14 Pro Max,1490
MQE93FE/A,0013021756,49 海洋錶帶 白色 MQE93,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MQEA3FE/A,0013021757,49 海洋錶帶 白 加長節 MQEA3,Accy,*Apple Watch Accy,Band 49mm Ocean Band,1600
SFYT2TA/A,0013021784,AC+ for iPhone 14 Plus SFYT2,Care,ACPP+,iPhone 14 Plus ACPP+,5790
SFYU2TA/A,0013021785,AC+ for iPhone 14 SFYU2,Care,ACPP+,iPhone 14 ACPP+,4890
